"variable","variable_comp","t_literal","p_t_literal","correlation_literal","p_correlation_literal","t_sentimental","p_t_sentimental","correlation_sentimental","p_correlation_sentimental","t_joined","p_t_joined","correlation_joined","p_correlation_joined"
"dependency_distance_mean","automated_readability_index",-52.44,"****",0.17,"***",-40.52,"****",-0.01,"ns",-64.57,"****",0.06,"ns"
"prop_adjacent_dependency_relation_mean","coleman_liau_index",-66.58,"****",-0.02,"ns",-52.38,"****",0.09,"ns",-82.61,"****",0.06,"ns"
"prop_adjacent_dependency_relation_mean","income",-32.4,"****",0.04,"ns",-32.4,"****",0.08,"ns",-45.84,"****",0.06,"ns"
"prop_adjacent_dependency_relation_std","arousal",-187.16,"****",0.03,"ns",-188.33,"****",0.03,"ns",-223.38,"****",0.06,"ns"
"income","token_length_median",32.39,"****",0.02,"ns",32.39,"****",0.1,"*",45.84,"****",0.06,"ns"
"income","syllables_per_token_median",32.4,"****",-0.01,"ns",32.4,"****",0.12,"*",45.84,"****",0.06,"ns"
"income","flesch_kincaid_grade",32.39,"****",0.05,"ns",32.39,"****",0.07,"ns",45.83,"****",0.06,"ns"
"income","automated_readability_index",32.39,"****",0.04,"ns",32.39,"****",0.08,"ns",45.83,"****",0.06,"ns"
"income","prop_adjacent_dependency_relation_mean",32.4,"****",0.04,"ns",32.4,"****",0.08,"ns",45.84,"****",0.06,"ns"
"householdSize","token_length_mean",-25.76,"****",0.02,"ns",-24.05,"****",0.09,"ns",-35.21,"****",0.06,"ns"
"livingArea","sentiment",26.88,"****",0.02,"ns",26.89,"****",0.09,"*",38.04,"****",0.06,"ns"
"livingArea","valence",25.49,"****",0.11,"*",25.49,"****",0.03,"ns",36.07,"****",0.06,"ns"
"livingArea","gunning_fog",22.44,"****",0.02,"ns",22.67,"****",0.1,"*",31.91,"****",0.06,"ns"
"timeTaken","arousal",39.18,"****",0.08,"ns",39.07,"****",0.06,"ns",55.36,"****",0.06,"ns"
"timeTaken","flesch_kincaid_grade",36.78,"****",0.1,"*",37,"****",0.02,"ns",52.2,"****",0.06,"ns"
"timeTaken","coleman_liau_index",35.51,"****",0.07,"ns",35.77,"****",0.05,"ns",50.43,"****",0.06,"ns"
"spelling_errors","token_length_median",-69.21,"****",-0.03,"ns",-60.15,"****",-0.11,"*",-91,"****",-0.08,"*"
"spelling_errors","livingArea",-26.72,"****",-0.13,"**",-26.7,"****",-0.03,"ns",-37.8,"****",-0.08,"*"
"concreteness","sentence_length_std",67.73,"****",-0.11,"*",46.3,"****",-0.02,"ns",75.38,"****",-0.08,"*"
"concreteness","n_characters",-49.59,"****",-0.23,"****",-48.02,"****",-0.12,"*",-68.84,"****",-0.08,"*"
"valence","automated_readability_index",-38.35,"****",-0.06,"ns",-28.77,"****",-0.09,"ns",-46.56,"****",-0.08,"*"
"valence","coleman_liau_index",-48.83,"****",-0.07,"ns",-37.2,"****",-0.09,"ns",-59.66,"****",-0.08,"*"
"token_length_median","spelling_errors",69.21,"****",-0.03,"ns",60.15,"****",-0.11,"*",91,"****",-0.08,"*"
"sentence_length_median","income",-32.39,"****",-0.02,"ns",-32.39,"****",-0.13,"**",-45.84,"****",-0.08,"*"
"sentence_length_std","concreteness",-67.73,"****",-0.11,"*",-46.3,"****",-0.02,"ns",-75.38,"****",-0.08,"*"
"syllables_per_token_median","prop_adjacent_dependency_relation_std",75.89,"****",-0.02,"ns",57.63,"****",-0.12,"*",92.21,"****",-0.08,"*"
"n_characters","concreteness",49.59,"****",-0.23,"****",48.02,"****",-0.12,"*",68.84,"****",-0.08,"*"
"flesch_reading_ease","income",-32.39,"****",-0.06,"ns",-32.39,"****",-0.09,"*",-45.83,"****",-0.08,"*"
"automated_readability_index","valence",38.35,"****",-0.06,"ns",28.77,"****",-0.09,"ns",46.56,"****",-0.08,"*"
"coleman_liau_index","valence",48.83,"****",-0.07,"ns",37.2,"****",-0.09,"ns",59.66,"****",-0.08,"*"
"prop_adjacent_dependency_relation_std","syllables_per_token_median",-75.89,"****",-0.02,"ns",-57.63,"****",-0.12,"*",-92.21,"****",-0.08,"*"
"income","sentence_length_median",32.39,"****",-0.02,"ns",32.39,"****",-0.13,"**",45.84,"****",-0.08,"*"
"income","flesch_reading_ease",32.39,"****",-0.06,"ns",32.39,"****",-0.09,"*",45.83,"****",-0.08,"*"
"livingArea","spelling_errors",26.72,"****",-0.13,"**",26.7,"****",-0.03,"ns",37.8,"****",-0.08,"*"
"livingArea","timeTaken",-11.87,"****",-0.08,"ns",-11.87,"****",-0.08,"ns",-16.8,"****",-0.08,"*"
"timeTaken","livingArea",11.87,"****",-0.08,"ns",11.87,"****",-0.08,"ns",16.8,"****",-0.08,"*"
"spelling_errors","concreteness",-112.9,"****",-0.06,"ns",-72.04,"****",-0.05,"ns",-112.62,"****",-0.07,"*"
"spelling_errors","automated_readability_index",-58.74,"****",-0.06,"ns",-45.86,"****",-0.07,"ns",-72.7,"****",-0.07,"*"
"spelling_errors","coleman_liau_index",-65.87,"****",-0.05,"ns",-51.45,"****",-0.07,"ns",-81.45,"****",-0.07,"*"
"sentiment","n_sentences",-38.96,"****",0,"ns",-31.78,"****",-0.11,"*",-48.96,"****",-0.07,"*"
"concreteness","spelling_errors",112.9,"****",-0.06,"ns",72.04,"****",-0.05,"ns",112.62,"****",-0.07,"*"
"concreteness","proportion_unique_tokens",172.5,"****",0.04,"ns",103.83,"****",0.12,"**",143.01,"****",-0.07,"*"
"valence","n_sentences",107.42,"****",-0.05,"ns",97.67,"****",-0.09,"*",144.54,"****",-0.07,"*"
"valence","dependency_distance_std",251.48,"****",-0.03,"ns",200.87,"****",-0.11,"*",313.82,"****",-0.07,"*"
"imageability","sentence_length_std",71.95,"****",-0.09,"ns",53.79,"****",-0.03,"ns",85.3,"****",-0.07,"*"
"imageability","syllables_per_token_std",156.7,"****",-0.11,"*",108.12,"****",-0.21,"****",157.18,"****",-0.07,"*"
"sentence_length_mean","lix",-62.89,"****",-0.02,"ns",-48.75,"****",-0.12,"*",-77.27,"****",-0.07,"*"
"sentence_length_mean","income",-32.39,"****",-0.02,"ns",-32.39,"****",-0.13,"**",-45.84,"****",-0.07,"*"
"sentence_length_std","imageability",-71.95,"****",-0.09,"ns",-53.79,"****",-0.03,"ns",-85.3,"****",-0.07,"*"
"syllables_per_token_std","imageability",-156.7,"****",-0.11,"*",-108.12,"****",-0.21,"****",-157.18,"****",-0.07,"*"
"syllables_per_token_std","livingArea",-26.58,"****",-0.09,"ns",-26.6,"****",-0.05,"ns",-37.62,"****",-0.07,"*"
"n_unique_tokens","householdSize",31.98,"****",0.04,"ns",29.72,"****",-0.17,"***",43.59,"****",-0.07,"*"
"proportion_unique_tokens","concreteness",-172.5,"****",0.04,"ns",-103.83,"****",0.12,"**",-143.01,"****",-0.07,"*"
"n_sentences","sentiment",38.96,"****",0,"ns",31.78,"****",-0.11,"*",48.96,"****",-0.07,"*"
"n_sentences","valence",-107.42,"****",-0.05,"ns",-97.67,"****",-0.09,"*",-144.54,"****",-0.07,"*"
"automated_readability_index","spelling_errors",58.74,"****",-0.06,"ns",45.86,"****",-0.07,"ns",72.7,"****",-0.07,"*"
"coleman_liau_index","spelling_errors",65.87,"****",-0.05,"ns",51.45,"****",-0.07,"ns",81.45,"****",-0.07,"*"
"lix","sentence_length_mean",62.89,"****",-0.02,"ns",48.75,"****",-0.12,"*",77.27,"****",-0.07,"*"
"dependency_distance_std","valence",-251.48,"****",-0.03,"ns",-200.87,"****",-0.11,"*",-313.82,"****",-0.07,"*"
"income","sentence_length_mean",32.39,"****",-0.02,"ns",32.39,"****",-0.13,"**",45.84,"****",-0.07,"*"
"householdSize","n_unique_tokens",-31.98,"****",0.04,"ns",-29.72,"****",-0.17,"***",-43.59,"****",-0.07,"*"
"livingArea","syllables_per_token_std",26.58,"****",-0.09,"ns",26.6,"****",-0.05,"ns",37.62,"****",-0.07,"*"
"spelling_errors","sentence_length_median",-39.83,"****",0.03,"ns",-36.58,"****",0.11,"*",-53.9,"****",0.07,"*"
"valence","imageability",-2.79,"**",0.02,"ns",20.17,"****",0.16,"***",12.46,"****",0.07,"*"
"imageability","valence",2.79,"**",0.02,"ns",-20.17,"****",0.16,"***",-12.46,"****",0.07,"*"
"sentence_length_median","spelling_errors",39.83,"****",0.03,"ns",36.58,"****",0.11,"*",53.9,"****",0.07,"*"
"n_characters","flesch_reading_ease",32.45,"****",0.05,"ns",24.69,"****",0.1,"*",39.98,"****",0.07,"*"
"n_characters","coleman_liau_index",39.32,"****",0.05,"ns",37.42,"****",0.07,"ns",54.13,"****",0.07,"*"
"n_sentences","income",-32.4,"****",0.01,"ns",-32.4,"****",0.13,"**",-45.84,"****",0.07,"*"
"flesch_reading_ease","n_characters",-32.45,"****",0.05,"ns",-24.69,"****",0.1,"*",-39.98,"****",0.07,"*"
"coleman_liau_index","n_characters",-39.32,"****",0.05,"ns",-37.42,"****",0.07,"ns",-54.13,"****",0.07,"*"
"lix","income",-32.36,"****",0.03,"ns",-32.36,"****",0.1,"*",-45.79,"****",0.07,"*"
"dependency_distance_mean","livingArea",-26.35,"****",-0.01,"ns",-26.33,"****",0.13,"**",-37.27,"****",0.07,"*"
"income","n_sentences",32.4,"****",0.01,"ns",32.4,"****",0.13,"**",45.84,"****",0.07,"*"
"income","lix",32.36,"****",0.03,"ns",32.36,"****",0.1,"*",45.79,"****",0.07,"*"
"livingArea","dependency_distance_mean",26.35,"****",-0.01,"ns",26.33,"****",0.13,"**",37.27,"****",0.07,"*"
"spelling_errors","sentence_length_std",-2.77,"**",0.08,"ns",-3.22,"**",0.08,"ns",-4.24,"****",0.08,"*"
"arousal","n_tokens",-35.3,"****",0.18,"****",-30.99,"****",0.08,"ns",-46.78,"****",0.08,"*"
"arousal","n_sentences",46,"****",0.09,"ns",55.06,"****",0.03,"ns",68.48,"****",0.08,"*"
"arousal","dependency_distance_std",142.93,"****",0.04,"ns",147.48,"****",0.05,"ns",182.33,"****",0.08,"*"
"token_length_mean","income",-32.39,"****",0.05,"ns",-32.39,"****",0.12,"*",-45.84,"****",0.08,"*"
"token_length_median","prop_adjacent_dependency_relation_mean",77.22,"****",-0.03,"ns",69.4,"****",0.16,"***",103.28,"****",0.08,"*"
"sentence_length_std","spelling_errors",2.77,"**",0.08,"ns",3.22,"**",0.08,"ns",4.24,"****",0.08,"*"
"syllables_per_token_mean","income",-32.4,"****",0.06,"ns",-32.4,"****",0.1,"*",-45.84,"****",0.08,"*"
"n_tokens","arousal",35.3,"****",0.18,"****",30.99,"****",0.08,"ns",46.78,"****",0.08,"*"
"proportion_unique_tokens","livingArea",-26.63,"****",0.11,"*",-26.62,"****",0.05,"ns",-37.68,"****",0.08,"*"
"n_sentences","arousal",-46,"****",0.09,"ns",-55.06,"****",0.03,"ns",-68.48,"****",0.08,"*"
"gunning_fog","income",-32.39,"****",0.05,"ns",-32.39,"****",0.11,"*",-45.83,"****",0.08,"*"
"dependency_distance_std","arousal",-142.93,"****",0.04,"ns",-147.48,"****",0.05,"ns",-182.33,"****",0.08,"*"
"prop_adjacent_dependency_relation_mean","token_length_median",-77.22,"****",-0.03,"ns",-69.4,"****",0.16,"***",-103.28,"****",0.08,"*"
"prop_adjacent_dependency_relation_std","timeTaken",-39.88,"****",-0.04,"ns",-39.88,"****",0.19,"****",-56.43,"****",0.08,"*"
"income","token_length_mean",32.39,"****",0.05,"ns",32.39,"****",0.12,"*",45.84,"****",0.08,"*"
"income","syllables_per_token_mean",32.4,"****",0.06,"ns",32.4,"****",0.1,"*",45.84,"****",0.08,"*"
"income","gunning_fog",32.39,"****",0.05,"ns",32.39,"****",0.11,"*",45.83,"****",0.08,"*"
"livingArea","proportion_unique_tokens",26.63,"****",0.11,"*",26.62,"****",0.05,"ns",37.68,"****",0.08,"*"
"timeTaken","prop_adjacent_dependency_relation_std",39.88,"****",-0.04,"ns",39.88,"****",0.19,"****",56.43,"****",0.08,"*"
"token_length_mean","prop_adjacent_dependency_relation_mean",116.89,"****",0,"ns",96.02,"****",0.14,"**",148.46,"****",0.09,"*"
"prop_adjacent_dependency_relation_mean","token_length_mean",-116.89,"****",0,"ns",-96.02,"****",0.14,"**",-148.46,"****",0.09,"*"
"concreteness","n_tokens",-26.05,"****",-0.25,"****",-28.26,"****",-0.13,"**",-38.18,"****",-0.11,"**"
"n_tokens","concreteness",26.05,"****",-0.25,"****",28.26,"****",-0.13,"**",38.18,"****",-0.11,"**"
"flesch_reading_ease","prop_adjacent_dependency_relation_mean",5.84,"****",0.03,"ns",8.28,"****",-0.18,"***",10.07,"****",-0.11,"**"
"prop_adjacent_dependency_relation_mean","flesch_reading_ease",-5.84,"****",0.03,"ns",-8.28,"****",-0.18,"***",-10.07,"****",-0.11,"**"
"sentiment","income",-32.4,"****",0.05,"ns",-32.4,"****",-0.19,"****",-45.84,"****",-0.1,"**"
"concreteness","prop_adjacent_dependency_relation_std",208.46,"****",-0.12,"*",132.44,"****",-0.03,"ns",176.91,"****",-0.1,"**"
"imageability","dependency_distance_std",207.23,"****",-0.09,"*",142.24,"****",-0.05,"ns",203.38,"****",-0.1,"**"
"imageability","prop_adjacent_dependency_relation_std",243.61,"****",-0.11,"*",162.22,"****",-0.05,"ns",226.18,"****",-0.1,"**"
"imageability","timeTaken",-38.64,"****",-0.11,"*",-38.82,"****",-0.13,"**",-54.81,"****",-0.1,"**"
"token_length_mean","prop_adjacent_dependency_relation_std",125.96,"****",-0.08,"ns",102.8,"****",-0.11,"*",159.47,"****",-0.1,"**"
"token_length_median","prop_adjacent_dependency_relation_std",83.65,"****",-0.04,"ns",74.68,"****",-0.14,"**",111.52,"****",-0.1,"**"
"proportion_unique_tokens","prop_adjacent_dependency_relation_std",261.51,"****",-0.12,"**",300.44,"****",-0.11,"*",390.9,"****",-0.1,"**"
"n_characters","age",30.83,"****",-0.26,"****",28.18,"****",0.06,"ns",41.65,"****",-0.1,"**"
"dependency_distance_std","imageability",-207.23,"****",-0.09,"*",-142.24,"****",-0.05,"ns",-203.38,"****",-0.1,"**"
"prop_adjacent_dependency_relation_std","concreteness",-208.46,"****",-0.12,"*",-132.44,"****",-0.03,"ns",-176.91,"****",-0.1,"**"
"prop_adjacent_dependency_relation_std","imageability",-243.61,"****",-0.11,"*",-162.22,"****",-0.05,"ns",-226.18,"****",-0.1,"**"
"prop_adjacent_dependency_relation_std","token_length_mean",-125.96,"****",-0.08,"ns",-102.8,"****",-0.11,"*",-159.47,"****",-0.1,"**"
"prop_adjacent_dependency_relation_std","token_length_median",-83.65,"****",-0.04,"ns",-74.68,"****",-0.14,"**",-111.52,"****",-0.1,"**"
"prop_adjacent_dependency_relation_std","proportion_unique_tokens",-261.51,"****",-0.12,"**",-300.44,"****",-0.11,"*",-390.9,"****",-0.1,"**"
"age","n_characters",-30.83,"****",-0.26,"****",-28.18,"****",0.06,"ns",-41.65,"****",-0.1,"**"
"income","sentiment",32.4,"****",0.05,"ns",32.4,"****",-0.19,"****",45.84,"****",-0.1,"**"
"timeTaken","imageability",38.64,"****",-0.11,"*",38.82,"****",-0.13,"**",54.81,"****",-0.1,"**"
"spelling_errors","token_length_mean",-97.26,"****",-0.06,"ns",-79.07,"****",-0.1,"*",-123.03,"****",-0.09,"**"
"concreteness","n_sentences",92.42,"****",-0.14,"**",59.16,"****",-0.04,"ns",92.27,"****",-0.09,"**"
"concreteness","dependency_distance_std",181.83,"****",-0.1,"*",117.5,"****",-0.03,"ns",162.3,"****",-0.09,"**"
"concreteness","timeTaken",-38.69,"****",-0.09,"*",-38.93,"****",-0.13,"**",-54.92,"****",-0.09,"**"
"valence","token_length_mean",-20.82,"****",-0.04,"ns",-14.71,"****",-0.12,"**",-24.57,"****",-0.09,"**"
"arousal","token_length_std",-5.48,"****",0.01,"ns",12.54,"****",0.03,"ns",5.16,"****",-0.09,"**"
"imageability","n_sentences",101.44,"****",-0.12,"*",72.54,"****",-0.04,"ns",111.65,"****",-0.09,"**"
"token_length_mean","spelling_errors",97.26,"****",-0.06,"ns",79.07,"****",-0.1,"*",123.03,"****",-0.09,"**"
"token_length_mean","valence",20.82,"****",-0.04,"ns",14.71,"****",-0.12,"**",24.57,"****",-0.09,"**"
"token_length_std","arousal",5.48,"****",0.01,"ns",-12.54,"****",0.03,"ns",-5.16,"****",-0.09,"**"
"syllables_per_token_mean","prop_adjacent_dependency_relation_std",115.3,"****",-0.04,"ns",92.54,"****",-0.13,"**",144.54,"****",-0.09,"**"
"proportion_unique_tokens","dependency_distance_std",59.26,"****",-0.12,"**",55.17,"****",-0.09,"ns",80.62,"****",-0.09,"**"
"proportion_unique_tokens","prop_adjacent_dependency_relation_mean",89.78,"****",-0.07,"ns",99.89,"****",-0.04,"ns",131.47,"****",-0.09,"**"
"n_sentences","concreteness",-92.42,"****",-0.14,"**",-59.16,"****",-0.04,"ns",-92.27,"****",-0.09,"**"
"n_sentences","imageability",-101.44,"****",-0.12,"*",-72.54,"****",-0.04,"ns",-111.65,"****",-0.09,"**"
"dependency_distance_mean","income",-32.4,"****",-0.07,"ns",-32.4,"****",-0.12,"*",-45.84,"****",-0.09,"**"
"dependency_distance_std","concreteness",-181.83,"****",-0.1,"*",-117.5,"****",-0.03,"ns",-162.3,"****",-0.09,"**"
"dependency_distance_std","proportion_unique_tokens",-59.26,"****",-0.12,"**",-55.17,"****",-0.09,"ns",-80.62,"****",-0.09,"**"
"prop_adjacent_dependency_relation_mean","proportion_unique_tokens",-89.78,"****",-0.07,"ns",-99.89,"****",-0.04,"ns",-131.47,"****",-0.09,"**"
"prop_adjacent_dependency_relation_std","syllables_per_token_mean",-115.3,"****",-0.04,"ns",-92.54,"****",-0.13,"**",-144.54,"****",-0.09,"**"
"income","dependency_distance_mean",32.4,"****",-0.07,"ns",32.4,"****",-0.12,"*",45.84,"****",-0.09,"**"
"householdSize","timeTaken",-39.19,"****",-0.09,"ns",-39.19,"****",-0.09,"ns",-55.45,"****",-0.09,"**"
"timeTaken","concreteness",38.69,"****",-0.09,"*",38.93,"****",-0.13,"**",54.92,"****",-0.09,"**"
"timeTaken","householdSize",39.19,"****",-0.09,"ns",39.19,"****",-0.09,"ns",55.45,"****",-0.09,"**"
"spelling_errors","dependency_distance_mean",-31.7,"****",-0.01,"ns",-26.59,"****",0.16,"***",-40.73,"****",0.09,"**"
"spelling_errors","dependency_distance_std",11.25,"****",0.07,"ns",10.91,"****",0.09,"ns",15.61,"****",0.09,"**"
"imageability","token_length_median",-7.25,"****",0.03,"ns",-14.23,"****",0.11,"*",-15.02,"****",0.09,"**"
"imageability","syllables_per_token_median",104.66,"****",-0.04,"ns",67.3,"****",0.11,"*",106.08,"****",0.09,"**"
"imageability","lix",-69.67,"****",0,"ns",-53.57,"****",0.06,"ns",-85.08,"****",0.09,"**"
"token_length_mean","livingArea",-25.21,"****",0.07,"ns",-25.24,"****",0.11,"*",-35.69,"****",0.09,"**"
"token_length_median","imageability",7.25,"****",0.03,"ns",14.23,"****",0.11,"*",15.02,"****",0.09,"**"
"token_length_median","livingArea",-25.33,"****",0.07,"ns",-25.37,"****",0.11,"*",-35.87,"****",0.09,"**"
"syllables_per_token_median","imageability",-104.66,"****",-0.04,"ns",-67.3,"****",0.11,"*",-106.08,"****",0.09,"**"
"syllables_per_token_median","syllables_per_token_std",27.23,"****",0.07,"ns",22.13,"****",0.09,"*",34.31,"****",0.09,"**"
"syllables_per_token_std","syllables_per_token_median",-27.23,"****",0.07,"ns",-22.13,"****",0.09,"*",-34.31,"****",0.09,"**"
"proportion_unique_tokens","age",-76.75,"****",0.14,"**",-76.7,"****",0.03,"ns",-108.56,"****",0.09,"**"
"automated_readability_index","prop_adjacent_dependency_relation_mean",59.64,"****",0,"ns",47.01,"****",0.12,"**",74.14,"****",0.09,"**"
"coleman_liau_index","livingArea",-21.99,"****",0.03,"ns",-22.29,"****",0.15,"**",-31.32,"****",0.09,"**"
"lix","imageability",69.67,"****",0,"ns",53.57,"****",0.06,"ns",85.08,"****",0.09,"**"
"rix","livingArea",-25.93,"****",-0.01,"ns",-26.08,"****",0.2,"****",-36.8,"****",0.09,"**"
"dependency_distance_mean","spelling_errors",31.7,"****",-0.01,"ns",26.59,"****",0.16,"***",40.73,"****",0.09,"**"
"dependency_distance_std","spelling_errors",-11.25,"****",0.07,"ns",-10.91,"****",0.09,"ns",-15.61,"****",0.09,"**"
"prop_adjacent_dependency_relation_mean","automated_readability_index",-59.64,"****",0,"ns",-47.01,"****",0.12,"**",-74.14,"****",0.09,"**"
"age","proportion_unique_tokens",76.75,"****",0.14,"**",76.7,"****",0.03,"ns",108.56,"****",0.09,"**"
"livingArea","token_length_mean",25.21,"****",0.07,"ns",25.24,"****",0.11,"*",35.69,"****",0.09,"**"
"livingArea","token_length_median",25.33,"****",0.07,"ns",25.37,"****",0.11,"*",35.87,"****",0.09,"**"
"livingArea","coleman_liau_index",21.99,"****",0.03,"ns",22.29,"****",0.15,"**",31.32,"****",0.09,"**"
"livingArea","rix",25.93,"****",-0.01,"ns",26.08,"****",0.2,"****",36.8,"****",0.09,"**"
"spelling_errors","arousal",-69.3,"****",0.1,"*",-69.51,"****",0.07,"ns",-94.14,"****",0.1,"**"
"spelling_errors","n_characters",-52.86,"****",0.12,"*",-50.55,"****",0.09,"*",-72.95,"****",0.1,"**"
"arousal","spelling_errors",69.3,"****",0.1,"*",69.51,"****",0.07,"ns",94.14,"****",0.1,"**"
"arousal","n_unique_tokens",-36.78,"****",0.18,"****",-31.34,"****",0.08,"ns",-47.94,"****",0.1,"**"
"token_length_median","syllables_per_token_std",66.53,"****",0.11,"*",60.25,"****",0.09,"ns",89.3,"****",0.1,"**"
"token_length_std","age",-70.01,"****",0.09,"*",-70.91,"****",0.1,"*",-99.68,"****",0.1,"**"
"token_length_std","timeTaken",-39.12,"****",0.03,"ns",-39.2,"****",0.18,"***",-55.41,"****",0.1,"**"
"syllables_per_token_mean","prop_adjacent_dependency_relation_mean",88.9,"****",-0.03,"ns",72.92,"****",0.18,"***",112.57,"****",0.1,"**"
"syllables_per_token_std","token_length_median",-66.53,"****",0.11,"*",-60.25,"****",0.09,"ns",-89.3,"****",0.1,"**"
"syllables_per_token_std","lix",-76.16,"****",0.09,"ns",-57.99,"****",0.1,"*",-92.61,"****",0.1,"**"
"n_unique_tokens","arousal",36.78,"****",0.18,"****",31.34,"****",0.08,"ns",47.94,"****",0.1,"**"
"n_characters","spelling_errors",52.86,"****",0.12,"*",50.55,"****",0.09,"*",72.95,"****",0.1,"**"
"automated_readability_index","livingArea",-23.19,"****",0.04,"ns",-23.42,"****",0.15,"**",-32.98,"****",0.1,"**"
"lix","syllables_per_token_std",76.16,"****",0.09,"ns",57.99,"****",0.1,"*",92.61,"****",0.1,"**"
"lix","prop_adjacent_dependency_relation_mean",77.15,"****",-0.05,"ns",58.74,"****",0.18,"***",93.8,"****",0.1,"**"
"dependency_distance_mean","age",-73.64,"****",0.08,"ns",-73.31,"****",0.11,"*",-103.97,"****",0.1,"**"
"prop_adjacent_dependency_relation_mean","syllables_per_token_mean",-88.9,"****",-0.03,"ns",-72.92,"****",0.18,"***",-112.57,"****",0.1,"**"
"prop_adjacent_dependency_relation_mean","lix",-77.15,"****",-0.05,"ns",-58.74,"****",0.18,"***",-93.8,"****",0.1,"**"
"age","token_length_std",70.01,"****",0.09,"*",70.91,"****",0.1,"*",99.68,"****",0.1,"**"
"age","dependency_distance_mean",73.64,"****",0.08,"ns",73.31,"****",0.11,"*",103.97,"****",0.1,"**"
"livingArea","automated_readability_index",23.19,"****",0.04,"ns",23.42,"****",0.15,"**",32.98,"****",0.1,"**"
"timeTaken","token_length_std",39.12,"****",0.03,"ns",39.2,"****",0.18,"***",55.41,"****",0.1,"**"
"token_length_std","syllables_per_token_median",29,"****",0.09,"ns",21.42,"****",0.09,"*",34.82,"****",0.11,"**"
"syllables_per_token_median","token_length_std",-29,"****",0.09,"ns",-21.42,"****",0.09,"*",-34.82,"****",0.11,"**"
"flesch_kincaid_grade","prop_adjacent_dependency_relation_mean",62.86,"****",-0.02,"ns",49.13,"****",0.17,"***",77.71,"****",0.11,"**"
"prop_adjacent_dependency_relation_mean","flesch_kincaid_grade",-62.86,"****",-0.02,"ns",-49.13,"****",0.17,"***",-77.71,"****",0.11,"**"
"token_length_mean","n_characters",-48.69,"****",-0.15,"**",-46.44,"****",-0.12,"**",-67.11,"****",-0.13,"***"
"token_length_mean","dependency_distance_std",120.07,"****",-0.1,"*",98.04,"****",-0.14,"**",152.14,"****",-0.13,"***"
"syllables_per_token_mean","dependency_distance_std",89.46,"****",-0.07,"ns",73.19,"****",-0.16,"***",113.61,"****",-0.13,"***"
"proportion_unique_tokens","timeTaken",-39.68,"****",-0.15,"**",-39.67,"****",-0.1,"*",-56.14,"****",-0.13,"***"
"n_characters","token_length_mean",48.69,"****",-0.15,"**",46.44,"****",-0.12,"**",67.11,"****",-0.13,"***"
"dependency_distance_std","token_length_mean",-120.07,"****",-0.1,"*",-98.04,"****",-0.14,"**",-152.14,"****",-0.13,"***"
"dependency_distance_std","syllables_per_token_mean",-89.46,"****",-0.07,"ns",-73.19,"****",-0.16,"***",-113.61,"****",-0.13,"***"
"timeTaken","proportion_unique_tokens",39.68,"****",-0.15,"**",39.67,"****",-0.1,"*",56.14,"****",-0.13,"***"
"spelling_errors","income",-32.4,"****",-0.09,"ns",-32.4,"****",-0.15,"**",-45.84,"****",-0.12,"***"
"valence","timeTaken",-38.66,"****",-0.14,"**",-38.66,"****",-0.12,"*",-54.7,"****",-0.12,"***"
"arousal","rix",-5.78,"****",-0.03,"ns",6.85,"****",-0.04,"ns",0.42,"ns",-0.12,"***"
"imageability","n_characters",-49.45,"****",-0.27,"****",-47.68,"****",-0.15,"**",-68.51,"****",-0.12,"***"
"token_length_mean","n_sentences",83.15,"****",-0.14,"**",69.61,"****",-0.1,"*",107.01,"****",-0.12,"***"
"token_length_median","n_sentences",58.14,"****",-0.12,"*",51.47,"****",-0.12,"*",77.24,"****",-0.12,"***"
"token_length_median","dependency_distance_std",80.72,"****",-0.09,"ns",71.67,"****",-0.15,"**",107.33,"****",-0.12,"***"
"syllables_per_token_mean","n_sentences",18.74,"****",-0.1,"*",14.41,"****",-0.13,"**",23.32,"****",-0.12,"***"
"syllables_per_token_median","n_characters",-51.89,"****",-0.08,"ns",-49.7,"****",-0.17,"***",-71.67,"****",-0.12,"***"
"syllables_per_token_median","dependency_distance_std",63.66,"****",-0.07,"ns",48.5,"****",-0.15,"**",77.74,"****",-0.12,"***"
"n_characters","imageability",49.45,"****",-0.27,"****",47.68,"****",-0.15,"**",68.51,"****",-0.12,"***"
"n_characters","syllables_per_token_median",51.89,"****",-0.08,"ns",49.7,"****",-0.17,"***",71.67,"****",-0.12,"***"
"n_sentences","token_length_mean",-83.15,"****",-0.14,"**",-69.61,"****",-0.1,"*",-107.01,"****",-0.12,"***"
"n_sentences","token_length_median",-58.14,"****",-0.12,"*",-51.47,"****",-0.12,"*",-77.24,"****",-0.12,"***"
"n_sentences","syllables_per_token_mean",-18.74,"****",-0.1,"*",-14.41,"****",-0.13,"**",-23.32,"****",-0.12,"***"
"rix","arousal",5.78,"****",-0.03,"ns",-6.85,"****",-0.04,"ns",-0.42,"ns",-0.12,"***"
"dependency_distance_std","token_length_median",-80.72,"****",-0.09,"ns",-71.67,"****",-0.15,"**",-107.33,"****",-0.12,"***"
"dependency_distance_std","syllables_per_token_median",-63.66,"****",-0.07,"ns",-48.5,"****",-0.15,"**",-77.74,"****",-0.12,"***"
"dependency_distance_std","age",-78.71,"****",-0.18,"***",-78.6,"****",-0.07,"ns",-111.3,"****",-0.12,"***"
"age","dependency_distance_std",78.71,"****",-0.18,"***",78.6,"****",-0.07,"ns",111.3,"****",-0.12,"***"
